,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,epcScore,price,longitude,latitude,error_sum
33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,33009,46316,20494962,1,1,3.0,3.0,24,676,5100,218.0,20.0,-1,1,-1,27.0,1,1,2010.0,3.0,1.0,-1.0,1,1,1,-1,-1,-1,18.0,3,-1.0,1,65.0,-1,-1.0,0,2.0,-1.0,-1,1,1,-1,4.0,-1,-1,1,166.0,7,1,845000.0,4.8855574,50.4651684,446465.875
33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,33010,46318,20617316,2,12,3.0,1.0,24,3060,5100,200.0,13.0,-1,1,-1,20.0,1,2,1995.0,4.0,2.0,32.0,-1,1,3,-1,-1,-1,11.0,2,4800.0,1,20.0,1,2500.0,5,2.0,6.0,-1,-1,-1,-1,2.0,-1,1,1,30.0,4,6,345000.0,4.861364000000001,50.4133012,-259709.46875
33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,33016,46324,20583212,1,1,3.0,-1.0,24,413,5100,112.0,-1.0,-1,1,-1,-1.0,-1,1,-1.0,3.0,-1.0,-1.0,1,1,1,-1,-1,-1,6.0,2,-1.0,1,30.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,10.0,0,5,375000.0,4.8746389,50.4585088,115662.796875
33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,33017,46325,20611953,2,12,4.0,1.0,24,957,5100,250.0,-1.0,1,1,-1,-1.0,-1,2,1925.0,4.0,-1.0,-1.0,-1,0,2,-1,-1,-1,-1.0,2,2322.0,1,40.0,-1,-1.0,0,2.0,6.0,-1,-1,-1,-1,3.0,-1,1,1,60.0,0,2,595000.0,-1.0,-1.0,119862.4375
33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,33020,46330,20252152,2,2,4.0,1.0,24,3061,5100,180.0,-1.0,-1,-1,-1,-1.0,-1,1,-1.0,2.0,2.0,-1.0,-1,0,2,-1,-1,-1,-1.0,2,780.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,-1.0,0,5,390000.0,4.8779524,50.4110951,119669.5625
33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,33024,46334,20541478,2,2,4.0,1.0,24,676,5100,188.0,-1.0,-1,1,-1,10.0,1,5,-1.0,2.0,2.0,-1.0,-1,1,1,-1,-1,-1,12.0,1,230.0,1,31.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1.0,0,6,259000.0,4.8698415,50.4557793,102888.046875
33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,33025,46335,20592724,2,2,4.0,1.0,24,3060,5100,140.0,-1.0,-1,-1,-1,19.0,1,1,1966.0,4.0,1.0,-1.0,-1,1,2,-1,-1,-1,10.0,2,750.0,1,15.0,1,500.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,30.0,0,5,430000.0,-1.0,-1.0,142409.875
33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,33027,46337,20572577,2,2,8.0,6.0,24,957,5100,320.0,-1.0,1,1,-1,24.0,1,1,1900.0,4.0,3.0,-1.0,-1,0,2,-1,-1,-1,24.0,2,1250.0,-1,-1.0,-1,-1.0,0,3.0,4.0,-1,-1,-1,-1,5.0,-1,1,1,-1.0,0,3,750000.0,-1.0,-1.0,248451.75
33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,33028,46338,20572576,2,8,8.0,6.0,24,957,5100,320.0,-1.0,1,1,-1,24.0,1,1,1900.0,4.0,3.0,-1.0,-1,0,2,-1,-1,-1,24.0,2,1250.0,-1,-1.0,-1,-1.0,0,3.0,4.0,-1,-1,-1,-1,5.0,-1,1,1,-1.0,0,3,750000.0,-1.0,-1.0,155336.9375
33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,33038,46350,20378913,1,5,3.0,2.0,24,957,5100,180.0,-1.0,-1,1,-1,-1.0,-1,1,2002.0,4.0,3.0,-1.0,-1,0,1,-1,-1,-1,18.0,2,-1.0,1,52.0,-1,-1.0,0,2.0,1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,4,649000.0,-1.0,-1.0,250433.25
